2024-05-21 00:58:31,351 - ObjectDetectionLogger - INFO - Model path: models/yolov8s.pt
2024-05-21 00:58:33,130 - ObjectDetectionLogger - INFO - Model loaded. Cuda available: True
2024-05-21 00:58:33,142 - ObjectDetectionLogger - INFO - Region of interest points loaded successfully. Num points: 5
2024-05-21 00:58:40,390 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([319.9714,  57.9091, 367.0164, 211.7242])
2024-05-21 00:58:41,731 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,784 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([334.6169,  54.0511, 367.3297, 220.6309])
2024-05-21 00:58:41,785 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,786 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,787 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,789 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([254.3195,  74.8082, 316.8430, 288.4338])
2024-05-21 00:58:41,790 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,790 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,791 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 25.00%
2024-05-21 00:58:41,806 - ObjectDetectionLogger - INFO - Frame with object 'person' saved to 'C:\Users\aiden\Desktop\GitHub\Sequre\data\output\2024-05-21\a67150d5fe6a976c8da7a3e114935402d28aff49c5c8ffb0b6533a4f24ad5f92\person-00-58-41.jpg'
2024-05-21 00:58:41,866 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([332.9424,  54.3981, 366.9124, 215.3267])
2024-05-21 00:58:41,867 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,868 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,869 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,871 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([250.4026,  74.1407, 315.6123, 278.7670])
2024-05-21 00:58:41,872 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,872 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,873 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 16.00%
2024-05-21 00:58:41,928 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([332.2546,  56.1626, 366.9588, 217.0109])
2024-05-21 00:58:41,929 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,929 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,930 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:41,932 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([244.4935,  72.1978, 312.3727, 305.1776])
2024-05-21 00:58:41,933 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,934 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:41,935 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 25.00%
2024-05-21 00:58:41,950 - ObjectDetectionLogger - INFO - Frame with object 'person' saved to 'C:\Users\aiden\Desktop\GitHub\Sequre\data\output\2024-05-21\a67150d5fe6a976c8da7a3e114935402d28aff49c5c8ffb0b6533a4f24ad5f92\person-00-58-41.jpg'
2024-05-21 00:58:42,014 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([329.2695,  57.9330, 367.0142, 222.4770])
2024-05-21 00:58:42,015 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,016 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,017 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:42,019 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([239.7893,  71.5459, 307.0356, 289.4047])
2024-05-21 00:58:42,020 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,021 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,022 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 20.00%
2024-05-21 00:58:42,101 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([325.0886,  59.8773, 367.1517, 222.6111])
2024-05-21 00:58:42,102 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,102 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,103 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:42,106 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([229.4377,  72.7828, 304.6133, 353.8961])
2024-05-21 00:58:42,107 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,108 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,110 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 33.00%
2024-05-21 00:58:42,123 - ObjectDetectionLogger - INFO - Frame with object 'person' saved to 'C:\Users\aiden\Desktop\GitHub\Sequre\data\output\2024-05-21\a67150d5fe6a976c8da7a3e114935402d28aff49c5c8ffb0b6533a4f24ad5f92\person-00-58-42.jpg'
2024-05-21 00:58:42,126 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([230.4141,  72.4162, 304.2183, 257.1508])
2024-05-21 00:58:42,127 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,127 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,128 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 7.00%
2024-05-21 00:58:42,189 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([322.4471,  62.6886, 366.9995, 222.0763])
2024-05-21 00:58:42,191 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,192 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,193 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:42,195 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([212.8018,  75.7962, 302.9779, 365.0907])
2024-05-21 00:58:42,195 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,196 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,196 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 33.00%
2024-05-21 00:58:42,204 - ObjectDetectionLogger - INFO - Frame with object 'person' saved to 'C:\Users\aiden\Desktop\GitHub\Sequre\data\output\2024-05-21\a67150d5fe6a976c8da7a3e114935402d28aff49c5c8ffb0b6533a4f24ad5f92\person-00-58-42.jpg'
2024-05-21 00:58:42,261 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([202.8524,  81.6901, 298.8352, 366.3422])
2024-05-21 00:58:42,262 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,262 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,263 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 32.00%
2024-05-21 00:58:42,270 - ObjectDetectionLogger - INFO - Frame with object 'person' saved to 'C:\Users\aiden\Desktop\GitHub\Sequre\data\output\2024-05-21\a67150d5fe6a976c8da7a3e114935402d28aff49c5c8ffb0b6533a4f24ad5f92\person-00-58-42.jpg'
2024-05-21 00:58:42,271 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([319.5060,  64.2394, 366.9232, 222.7046])
2024-05-21 00:58:42,272 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,272 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,272 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:42,324 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([188.0025,  87.3457, 296.7688, 368.9125])
2024-05-21 00:58:42,325 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,325 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,326 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 30.00%
2024-05-21 00:58:42,334 - ObjectDetectionLogger - INFO - Frame with object 'person' saved to 'C:\Users\aiden\Desktop\GitHub\Sequre\data\output\2024-05-21\a67150d5fe6a976c8da7a3e114935402d28aff49c5c8ffb0b6533a4f24ad5f92\person-00-58-42.jpg'
2024-05-21 00:58:42,335 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([316.3714,  65.2325, 366.8811, 223.5291])
2024-05-21 00:58:42,336 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,336 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,336 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:42,385 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([184.1620,  92.2234, 293.8052, 367.9811])
2024-05-21 00:58:42,386 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,386 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,386 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 28.00%
2024-05-21 00:58:42,396 - ObjectDetectionLogger - INFO - Frame with object 'person' saved to 'C:\Users\aiden\Desktop\GitHub\Sequre\data\output\2024-05-21\a67150d5fe6a976c8da7a3e114935402d28aff49c5c8ffb0b6533a4f24ad5f92\person-00-58-42.jpg'
2024-05-21 00:58:42,401 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([312.7663,  65.4059, 364.5112, 223.2974])
2024-05-21 00:58:42,402 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,403 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,403 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:42,456 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([309.8848,  64.9427, 365.4066, 219.6003])
2024-05-21 00:58:42,457 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,457 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,458 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:42,459 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([170.0569,  93.4662, 287.9066, 366.1506])
2024-05-21 00:58:42,459 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,460 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,461 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 23.00%
2024-05-21 00:58:42,514 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([149.1906,  94.6780, 280.4584, 370.7095])
2024-05-21 00:58:42,514 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,515 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,516 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 20.00%
2024-05-21 00:58:42,517 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([306.2811,  65.4873, 361.4026, 220.8233])
2024-05-21 00:58:42,519 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,519 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,519 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:42,577 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([148.5942,  94.1755, 275.9833, 410.8643])
2024-05-21 00:58:42,578 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,579 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,580 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 27.00%
2024-05-21 00:58:42,597 - ObjectDetectionLogger - INFO - Frame with object 'person' saved to 'C:\Users\aiden\Desktop\GitHub\Sequre\data\output\2024-05-21\a67150d5fe6a976c8da7a3e114935402d28aff49c5c8ffb0b6533a4f24ad5f92\person-00-58-42.jpg'
2024-05-21 00:58:42,600 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([301.4597,  66.4390, 359.4191, 220.6956])
2024-05-21 00:58:42,601 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,602 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,603 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:42,661 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([140.1180,  95.1903, 275.6982, 420.7402])
2024-05-21 00:58:42,662 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,662 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,663 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 27.00%
2024-05-21 00:58:42,675 - ObjectDetectionLogger - INFO - Frame with object 'person' saved to 'C:\Users\aiden\Desktop\GitHub\Sequre\data\output\2024-05-21\a67150d5fe6a976c8da7a3e114935402d28aff49c5c8ffb0b6533a4f24ad5f92\person-00-58-42.jpg'
2024-05-21 00:58:42,677 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([295.4078,  69.2967, 356.8125, 220.0853])
2024-05-21 00:58:42,678 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,678 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,679 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:42,737 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([130.6159,  97.2925, 265.4749, 446.6162])
2024-05-21 00:58:42,738 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,739 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,740 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 29.00%
2024-05-21 00:58:42,755 - ObjectDetectionLogger - INFO - Frame with object 'person' saved to 'C:\Users\aiden\Desktop\GitHub\Sequre\data\output\2024-05-21\a67150d5fe6a976c8da7a3e114935402d28aff49c5c8ffb0b6533a4f24ad5f92\person-00-58-42.jpg'
2024-05-21 00:58:42,757 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([289.5709,  73.7603, 355.4065, 222.7342])
2024-05-21 00:58:42,759 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,759 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,759 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:42,812 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([121.8980, 101.8519, 247.5072, 470.0057])
2024-05-21 00:58:42,813 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,815 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,815 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 20.00%
2024-05-21 00:58:42,817 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([283.3790,  78.5824, 353.8845, 219.5271])
2024-05-21 00:58:42,818 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,818 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:42,818 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:42,871 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([105.7182, 109.5923, 239.2577, 474.2357])
